path,label,height
/home/mehak/n96ncsr5g4-1/n96ncsr5g4-1/dataset/dataset_part_8/dataset-part-8/1613552904696032.html,0,551
/home/mehak/n96ncsr5g4-1/n96ncsr5g4-1/dataset/dataset_part_2/dataset-part-2/160909537532315.html,0,127
/home/mehak/n96ncsr5g4-1/n96ncsr5g4-1/dataset/dataset_part_6/dataset-part-6/1635711753483189.html,0,1
/home/mehak/n96ncsr5g4-1/n96ncsr5g4-1/dataset/dataset_part_2/dataset-part-2/1613574602698468.html,1,164
/home/mehak/n96ncsr5g4-1/n96ncsr5g4-1/dataset/dataset_part_3/dataset-part-3/1635702363992974.html,0,691
/home/mehak/n96ncsr5g4-1/n96ncsr5g4-1/dataset/dataset_part_1/dataset-part-1/163570018165534.html,0,508
/home/mehak/n96ncsr5g4-1/n96ncsr5g4-1/dataset/dataset_part_1/dataset-part-1/1619551107472325.html,1,5
/home/mehak/n96ncsr5g4-1/n96ncsr5g4-1/dataset/dataset_part_1/dataset-part-1/163571138092733.html,0,334
/home/mehak/n96ncsr5g4-1/n96ncsr5g4-1/dataset/dataset_part_1/dataset-part-1/1613583077801606.html,0,528
/home/mehak/n96ncsr5g4-1/n96ncsr5g4-1/dataset/dataset_part_7/dataset-part-7/1613574577006137.html,1,28
/home/mehak/n96ncsr5g4-1/n96ncsr5g4-1/dataset/dataset_part_7/dataset-part-7/1635699457231233.html,0,1273
/home/mehak/n96ncsr5g4-1/n96ncsr5g4-1/dataset/dataset_part_4/dataset-part-4/1607253889944722.html,0,477
/home/mehak/n96ncsr5g4-1/n96ncsr5g4-1/dataset/dataset_part_7/dataset-part-7/1613577167116367.html,1,7
/home/mehak/n96ncsr5g4-1/n96ncsr5g4-1/dataset/dataset_part_1/dataset-part-1/1626367071342304.html,1,62
/home/mehak/n96ncsr5g4-1/n96ncsr5g4-1/dataset/dataset_part_8/dataset-part-8/1609097123461964.html,0,918
/home/mehak/n96ncsr5g4-1/n96ncsr5g4-1/dataset/dataset_part_2/dataset-part-2/1625067615889153.html,1,20
/home/mehak/n96ncsr5g4-1/n96ncsr5g4-1/dataset/dataset_part_2/dataset-part-2/1635707473915698.html,0,381
/home/mehak/n96ncsr5g4-1/n96ncsr5g4-1/dataset/dataset_part_6/dataset-part-6/1609169966468732.html,1,15
/home/mehak/n96ncsr5g4-1/n96ncsr5g4-1/dataset/dataset_part_8/dataset-part-8/1608399457889144.html,1,473
/home/mehak/n96ncsr5g4-1/n96ncsr5g4-1/dataset/dataset_part_1/dataset-part-1/1635713885747866.html,0,329
/home/mehak/n96ncsr5g4-1/n96ncsr5g4-1/dataset/dataset_part_7/dataset-part-7/1608231305946773.html,1,101
/home/mehak/n96ncsr5g4-1/n96ncsr5g4-1/dataset/dataset_part_3/dataset-part-3/162688631902334.html,0,1231
/home/mehak/n96ncsr5g4-1/n96ncsr5g4-1/dataset/dataset_part_1/dataset-part-1/1623160441023599.html,0,151
/home/mehak/n96ncsr5g4-1/n96ncsr5g4-1/dataset/dataset_part_5/dataset-part-5/1635711633663946.html,0,214
/home/mehak/n96ncsr5g4-1/n96ncsr5g4-1/dataset/dataset_part_4/dataset-part-4/1613560018096103.html,0,11
/home/mehak/n96ncsr5g4-1/n96ncsr5g4-1/dataset/dataset_part_6/dataset-part-6/1622291414002957.html,1,46
/home/mehak/n96ncsr5g4-1/n96ncsr5g4-1/dataset/dataset_part_7/dataset-part-7/1635704045530326.html,0,914
/home/mehak/n96ncsr5g4-1/n96ncsr5g4-1/dataset/dataset_part_3/dataset-part-3/1607358690156799.html,1,32
/home/mehak/n96ncsr5g4-1/n96ncsr5g4-1/dataset/dataset_part_7/dataset-part-7/1626668509654974.html,1,157
/home/mehak/n96ncsr5g4-1/n96ncsr5g4-1/dataset/dataset_part_6/dataset-part-6/1635698238698868.html,0,274
/home/mehak/n96ncsr5g4-1/n96ncsr5g4-1/dataset/dataset_part_8/dataset-part-8/1609101128678159.html,0,307
/home/mehak/n96ncsr5g4-1/n96ncsr5g4-1/dataset/dataset_part_8/dataset-part-8/1635705235313557.html,0,90
